"Event_rate","Scenario","Visit","CI_type","Coverage","rank","mean","q1","q3","old_rank","coverage_old","mean_old","q1_old","q3_old"
1,2,2,"Sandwich",0.820740740740741,5,1.07970287848117,0.667782175825949,1.43794094339169,"Bootstrap",0.806,0.80898901557159,0.464306311401013,1.06151300213907
1,2,2,"Bootstrap",0.811,6,0.82213452888759,0.469175400657289,1.09777665519259,"Sandwich",0.801736613603473,1.07546272696005,0.637186706512905,1.40332273688788
1,2,3,"Jackknife MVN",0.921267893660532,1,5.02980512412112,3.95152756978647,6.15695235308823,"Jackknife MVN",0.937055837563452,4.89040624485677,3.83621751340255,5.95947049590194
1,2,3,"LEF both",0.909,2,0.919224658478825,0.581872224180803,1.19207754783056,"LEF outcome",0.876,0.878217982422864,0.549952295572535,1.16426688629007
1,2,3,"LEF outcome",0.909,2,0.921275613664979,0.579204965955106,1.19369980300455,"LEF both",0.872,0.861873075819154,0.540798498325117,1.13547957835774
1,2,3,"Jackknife Wald",0.851,3,0.901293610250508,0.320286805364034,1.20466079034012,"Jackknife Wald",0.853,0.944089030828297,0.323832114141693,1.24124026681587
1,2,3,"Sandwich",0.785185185185185,4,0.736465509214242,0.417097959373628,0.993836133633504,"Bootstrap",0.744,0.709603451797048,0.318791966954761,0.970678084930817
1,2,3,"Bootstrap",0.783,5,0.712504255285623,0.332608151774488,0.986224038439599,"Sandwich",0.742402315484805,0.737460736806946,0.407457314280303,0.959277216053885
1,2,4,"Jackknife MVN",0.921267893660532,1,3.56861789687828,2.79109117738039,4.33182637958826,"Jackknife MVN",0.939086294416244,3.43821707129599,2.67952723041655,4.18823379675049
1,2,4,"LEF both",0.869,2,0.664412839332166,0.415288291182697,0.85830412300749,"Jackknife Wald",0.832,0.943867390895942,0.239143713128427,1.16637656647391
1,2,4,"LEF outcome",0.867,3,0.66584800178064,0.414266096187287,0.860381117817863,"LEF outcome",0.826,0.631599559583886,0.389848798877157,0.828673357820075
1,2,4,"Jackknife Wald",0.84,4,0.904281548326982,0.244650176439899,1.10385491862471,"LEF both",0.823,0.619745897136923,0.380935927599106,0.807978220232762
1,2,4,"Bootstrap",0.755,5,0.698940131225064,0.303766511760602,0.944532410467522,"Bootstrap",0.711,0.686021067904333,0.281482438519251,0.925756852571328
1,2,4,"Sandwich",0.745185185185185,6,0.526309203155212,0.29244877708482,0.697167450177472,"Sandwich",0.706222865412446,0.524559523914612,0.28209577648906,0.679114859929343
1,3,0,"LEF both",0.915,1,1.99973387930416,0.972795082317069,2.77284281433954,"Sandwich",0.89937106918239,1.85882423171528,1.48679187101084,2.11566616344669
1,3,0,"LEF outcome",0.915,1,1.99973387824854,0.972795082639423,2.77284281433954,"LEF both",0.899,1.83717899036504,0.912412578944917,2.58078111163453
1,3,0,"Sandwich",0.912371134020619,2,1.94452998138025,1.51694494328422,2.08238613408576,"LEF outcome",0.899,1.83717899204961,0.912412579304779,2.58078111163453
1,3,0,"Bootstrap",0.708,3,0.951280410464491,0.46173328482389,1.33595544288736,"Bootstrap",0.765,0.898486074888857,0.43698313476731,1.27970880298137
1,3,0,"Jackknife Wald",0.655,4,0.970381454160771,0.436520964375438,1.34463926883877,"Jackknife Wald",0.629,0.910131019583622,0.40600418307583,1.26534487612109
1,3,0,"Jackknife MVN",0.631578947368421,5,14.3991375275051,3.07515774255334,24.703541792006,"Jackknife MVN",0.596385542168675,15.1139861563195,3.24320118618931,24.5641951040384
1,3,1,"LEF both",0.943,1,1.11334614135847,0.597125507458328,1.42425452048126,"LEF both",0.925,0.988128728501132,0.537053908679586,1.24230358888372
1,3,1,"LEF outcome",0.943,1,1.11537223371553,0.601581601002693,1.42154875373992,"LEF outcome",0.925,0.995815271415413,0.536014903320542,1.24432801601188
