"Event_rate","Scenario","Visit","CI_type","Coverage","rank","mean","q1","q3","old_rank","coverage_old","mean_old","q1_old","q3_old"
1,1,2,"Sandwich",0.81936887921654,5,0.964003646650202,0.651060978501474,1.12514835941294,"Sandwich",0.81936887921654,0.964003646650202,0.651060978501474,1.12514835941294
1,1,3,"Jackknife MVN",0.955512572533849,1,3.62584272061813,2.32576279759739,4.5822836763599,"Jackknife MVN",0.955512572533849,3.62584272061813,2.32576279759739,4.5822836763599
1,1,3,"Jackknife Wald",0.945,2,0.89251298317456,0.27093905455163,0.672599690240777,"Jackknife Wald",0.941,0.896725771200895,0.274659771221622,0.682261304044291
1,1,3,"LEF outcome",0.924,3,0.675189296715562,0.457919130285435,0.808589205951024,"LEF outcome",0.915,0.677063298195354,0.451220659936672,0.823790505313837
1,1,3,"LEF both",0.923,4,0.67163616874126,0.457856180800019,0.803610284204128,"LEF both",0.914,0.65970345793166,0.443368804001565,0.798543119924453
1,1,3,"Bootstrap",0.902,5,0.72443985745253,0.319308347993479,0.917467533244513,"Bootstrap",0.893,0.723110742955114,0.325952417494513,0.904592885018853
1,1,3,"Sandwich",0.76822633297062,6,0.500833316304286,0.331268590495454,0.591556115719624,"Sandwich",0.76822633297062,0.500833316304286,0.331268590495454,0.591556115719624
1,1,4,"Jackknife MVN",0.963249516441006,1,2.77669198466408,1.77382558090339,3.57305393020539,"Jackknife MVN",0.963249516441006,2.77669198466408,1.77382558090339,3.57305393020539
1,1,4,"Jackknife Wald",0.944,2,0.854866017728068,0.228695128635021,0.660935763693017,"Jackknife Wald",0.942,0.857970791705397,0.229306460849405,0.665670190270981
1,1,4,"LEF both",0.899,3,0.562941259513466,0.369163342867378,0.720892407489641,"LEF both",0.892,0.55270363957171,0.353539104942551,0.712740794203878
1,1,4,"LEF outcome",0.899,3,0.565565656013706,0.367385245376943,0.722302085968593,"LEF outcome",0.892,0.565487677775571,0.366304848302361,0.722624724280254
1,1,4,"Bootstrap",0.897,4,0.670476876425899,0.298795699805432,0.833336665302433,"Bootstrap",0.887,0.669162931915432,0.300440642929183,0.835523946850489
1,1,4,"Sandwich",0.779107725788901,5,0.425892366348302,0.262892061229689,0.550361166169143,"Sandwich",0.779107725788901,0.425892366348302,0.262892061229689,0.550361166169143
1,2,0,"LEF both",0.977,1,2.40297764142167,1.79274003773398,2.79401709363211,"LEF both",0.966,2.36316855212976,1.76477777838787,2.76091434632011
1,2,0,"LEF outcome",0.977,1,2.40297764127702,1.79274003773398,2.79401709363211,"LEF outcome",0.966,2.36316855242802,1.76477777838787,2.76091434632012
1,2,0,"Bootstrap",0.949,2,1.03639629972069,0.855704332117123,1.22913056798987,"Bootstrap",0.947,1.04082482557131,0.865508121847024,1.23021103948582
1,2,0,"Sandwich",0.922190201729107,3,1.70835148974769,1.39623177649687,1.83525883709373,"Jackknife Wald",0.923,1.03460774427969,0.839422548716122,1.22626589075206
1,2,0,"Jackknife Wald",0.919,4,1.02279939776793,0.823420431954512,1.21118289844172,"Sandwich",0.922190201729107,1.70835148974769,1.39623177649687,1.83525883709373
1,2,0,"Jackknife MVN",0.890577507598784,5,19.9530925240316,2.71009464451662,37.530095841626,"Jackknife MVN",0.890577507598784,19.9530925240316,2.71009464451662,37.530095841626
1,2,1,"LEF both",0.98,1,1.99132674470571,1.42926388597054,2.45189530149907,"LEF outcome",0.967,1.9878757573242,1.39302864396526,2.46433828896135
1,2,1,"LEF outcome",0.98,1,1.99537569715508,1.42756780696449,2.45597425207328,"LEF both",0.966,1.96154022436834,1.39704557247369,2.42747015292338
1,2,1,"Jackknife MVN",0.917933130699088,2,13.9562915405507,6.94354825922096,17.7110587721355,"Jackknife MVN",0.917933130699088,13.9562915405507,6.94354825922096,17.7110587721355
1,2,1,"Jackknife Wald",0.904,3,1.02323766342761,0.668290552312379,1.28830714150876,"Jackknife Wald",0.904,1.03346824347463,0.677083992296131,1.30049310840767
1,2,1,"Sandwich",0.899135446685879,4,1.51779903320324,1.07758916665036,1.83845731051151,"Sandwich",0.899135446685879,1.51779903320324,1.07758916665036,1.83845731051151
1,2,1,"Bootstrap",0.894,5,0.964758304666813,0.680317308176452,1.21621586086762,"Bootstrap",0.891,0.965623954851991,0.685098016202078,1.21795105020204
