"Visit","Scenario","CI_type","Coverage","rank","old_rank","coverage_old"
3,3,"Jackknife_MVN",0.764578833693304,2,"Jackknife_MVN",0.748995983935743
3,3,"Jackknife_Wald",0.722,3,"Jackknife_Wald",0.721
3,3,"Sandwich",0.683333333333333,4,"Sandwich",0.716981132075472
3,3,"Bootstrap",0.518,5,"Bootstrap",0.52
4,3,"LEF_outcome",0.793,1,"LEF_outcome",0.799
4,3,"LEF_both",0.793,1,"LEF_both",0.798
4,3,"Jackknife_MVN",0.777537796976242,2,"Jackknife_MVN",0.763052208835341
4,3,"Jackknife_Wald",0.739,3,"Jackknife_Wald",0.739
4,3,"Sandwich",0.666666666666667,4,"Sandwich",0.723270440251572
4,3,"Bootstrap",0.478,5,"Bootstrap",0.498
0,4,"LEF_outcome",0.997,1,"LEF_outcome",0.997
0,4,"LEF_both",0.997,1,"LEF_both",0.997
0,4,"Bootstrap",0.976,2,"Bootstrap",0.978
0,4,"Jackknife_Wald",0.955,3,"Jackknife_Wald",0.961
0,4,"Jackknife_MVN",0.916167664670659,4,"Jackknife_MVN",0.928436911487759
0,4,"Sandwich",0.885228480340064,5,"Sandwich",0.903088391906283
1,4,"LEF_outcome",0.995,1,"LEF_outcome",0.992
1,4,"LEF_both",0.995,1,"LEF_both",0.992
1,4,"Bootstrap",0.961,2,"Bootstrap",0.967
1,4,"Jackknife_MVN",0.958083832335329,3,"Jackknife_Wald",0.964
1,4,"Jackknife_Wald",0.956,4,"Jackknife_MVN",0.962335216572505
1,4,"Sandwich",0.901168969181722,5,"Sandwich",0.904153354632588
2,4,"LEF_outcome",0.965,1,"Jackknife_MVN",0.975517890772128
2,4,"LEF_both",0.965,1,"Jackknife_Wald",0.971
2,4,"Jackknife_MVN",0.956087824351297,2,"LEF_outcome",0.97
2,4,"Jackknife_Wald",0.951,3,"LEF_both",0.97
2,4,"Bootstrap",0.938,4,"Bootstrap",0.945
2,4,"Sandwich",0.842720510095643,5,"Sandwich",0.846645367412141
3,4,"Jackknife_MVN",0.962075848303393,1,"Jackknife_MVN",0.971751412429379
3,4,"Jackknife_Wald",0.95,2,"Jackknife_Wald",0.952
3,4,"LEF_both",0.918,3,"LEF_outcome",0.921
3,4,"LEF_outcome",0.917,4,"LEF_both",0.921
3,4,"Bootstrap",0.895,5,"Bootstrap",0.888
3,4,"Sandwich",0.780021253985122,6,"Sandwich",0.78594249201278
4,4,"Jackknife_MVN",0.980039920159681,1,"Jackknife_MVN",0.977401129943503
4,4,"Jackknife_Wald",0.945,2,"Jackknife_Wald",0.946
4,4,"LEF_both",0.898,3,"LEF_outcome",0.888
4,4,"LEF_outcome",0.897,4,"LEF_both",0.888
4,4,"Bootstrap",0.885,5,"Bootstrap",0.877
4,4,"Sandwich",0.793836344314559,6,"Sandwich",0.798722044728435
0,5,"LEF_outcome",0.976,1,"LEF_outcome",0.978
0,5,"LEF_both",0.976,1,"LEF_both",0.978
0,5,"Sandwich",0.925311203319502,2,"Sandwich",0.933147632311978
0,5,"Bootstrap",0.913,3,"Bootstrap",0.917
0,5,"Jackknife_Wald",0.882,4,"Jackknife_Wald",0.895
0,5,"Jackknife_MVN",0.868257261410788,5,"Jackknife_MVN",0.870314083080041
1,5,"LEF_outcome",0.977,1,"LEF_outcome",0.964
1,5,"LEF_both",0.977,1,"LEF_both",0.962
1,5,"Jackknife_MVN",0.902489626556017,2,"Jackknife_MVN",0.891590678824721
1,5,"Sandwich",0.887966804979253,3,"Sandwich",0.87883008356546
1,5,"Bootstrap",0.85,4,"Jackknife_Wald",0.869
1,5,"Jackknife_Wald",0.847,5,"Bootstrap",0.852
2,5,"LEF_outcome",0.938,1,"LEF_outcome",0.929
2,5,"LEF_both",0.937,2,"LEF_both",0.927
2,5,"Jackknife_MVN",0.9149377593361,3,"Jackknife_MVN",0.912867274569402
2,5,"Jackknife_Wald",0.841,4,"Jackknife_Wald",0.841
2,5,"Sandwich",0.814661134163209,5,"Sandwich",0.8008356545961
2,5,"Bootstrap",0.785,6,"Bootstrap",0.797
3,5,"Jackknife_MVN",0.91701244813278,1,"Jackknife_MVN",0.921985815602837
3,5,"LEF_outcome",0.893,2,"LEF_outcome",0.861
3,5,"LEF_both",0.893,2,"LEF_both",0.857
3,5,"Jackknife_Wald",0.824,3,"Jackknife_Wald",0.855
3,5,"Sandwich",0.756569847856155,4,"Bootstrap",0.759
3,5,"Bootstrap",0.741,5,"Sandwich",0.742339832869081
4,5,"Jackknife_MVN",0.923236514522822,1,"Jackknife_MVN",0.9209726443769
4,5,"LEF_outcome",0.829,2,"Jackknife_Wald",0.822
4,5,"LEF_both",0.829,2,"LEF_both",0.806
4,5,"Jackknife_Wald",0.814,3,"LEF_outcome",0.804
4,5,"Bootstrap",0.721,4,"Bootstrap",0.737
4,5,"Sandwich",0.69432918395574,5,"Sandwich",0.70891364902507
0,6,"LEF_outcome",0.923,1,"LEF_outcome",0.931
0,6,"LEF_both",0.923,1,"LEF_both",0.931
0,6,"Sandwich",0.880434782608696,2,"Sandwich",0.917948717948718
0,6,"Bootstrap",0.671,3,"Bootstrap",0.722
0,6,"Jackknife_MVN",0.644444444444444,4,"Jackknife_Wald",0.635
0,6,"Jackknife_Wald",0.642,5,"Jackknife_MVN",0.598790322580645
1,6,"LEF_outcome",0.949,1,"LEF_outcome",0.93
1,6,"LEF_both",0.948,2,"LEF_both",0.929
1,6,"Sandwich",0.83695652173913,3,"Sandwich",0.846153846153846
1,6,"Jackknife_MVN",0.696969696969697,4,"Jackknife_Wald",0.637
1,6,"Jackknife_Wald",0.667,5,"Jackknife_MVN",0.629032258064516
1,6,"Bootstrap",0.603,6,"Bootstrap",0.57
2,6,"LEF_outcome",0.911,1,"LEF_outcome",0.894
2,6,"LEF_both",0.91,2,"LEF_both",0.893
2,6,"Sandwich",0.760869565217391,3,"Sandwich",0.753846153846154
2,6,"Jackknife_MVN",0.745454545454545,4,"Jackknife_MVN",0.679435483870968
2,6,"Jackknife_Wald",0.699,5,"Jackknife_Wald",0.664
2,6,"Bootstrap",0.575,6,"Bootstrap",0.544
3,6,"LEF_outcome",0.858,1,"LEF_outcome",0.851
3,6,"LEF_both",0.857,2,"LEF_both",0.849
3,6,"Jackknife_MVN",0.771717171717172,3,"Jackknife_MVN",0.703629032258065
3,6,"Sandwich",0.755434782608696,4,"Sandwich",0.702564102564103
3,6,"Jackknife_Wald",0.732,5,"Jackknife_Wald",0.696
3,6,"Bootstrap",0.531,6,"Bootstrap",0.491
4,6,"LEF_outcome",0.825,1,"LEF_both",0.812
4,6,"LEF_both",0.825,1,"LEF_outcome",0.809
4,6,"Jackknife_MVN",0.773737373737374,2,"Jackknife_MVN",0.725806451612903
4,6,"Sandwich",0.755434782608696,3,"Jackknife_Wald",0.717
4,6,"Jackknife_Wald",0.751,4,"Sandwich",0.707692307692308
4,6,"Bootstrap",0.509,5,"Bootstrap",0.457
0,7,"LEF_outcome",0.993,1,"LEF_outcome",0.996
0,7,"LEF_both",0.993,1,"LEF_both",0.996
0,7,"Jackknife_MVN",0.966252220248668,2,"Jackknife_MVN",0.968864468864469
0,7,"Bootstrap",0.964,3,"Bootstrap",0.963
0,7,"Jackknife_Wald",0.954,4,"Jackknife_Wald",0.958
0,7,"Sandwich",0.934479054779807,5,"Sandwich",0.944864864864865
1,7,"LEF_outcome",0.988,1,"LEF_outcome",0.987
1,7,"LEF_both",0.988,1,"LEF_both",0.985
1,7,"Jackknife_MVN",0.978685612788632,2,"Jackknife_MVN",0.974358974358974
1,7,"Bootstrap",0.958,3,"Jackknife_Wald",0.957
1,7,"Jackknife_Wald",0.956,4,"Bootstrap",0.95
1,7,"Sandwich",0.889366272824919,5,"Sandwich",0.905945945945946
2,7,"Jackknife_MVN",0.968028419182948,1,"Jackknife_MVN",0.95970695970696
2,7,"Jackknife_Wald",0.952,2,"LEF_outcome",0.954
2,7,"LEF_outcome",0.949,3,"LEF_both",0.951
2,7,"LEF_both",0.948,4,"Jackknife_Wald",0.943
2,7,"Bootstrap",0.932,5,"Bootstrap",0.918
2,7,"Sandwich",0.830290010741139,6,"Sandwich",0.857297297297297
3,7,"Jackknife_MVN",0.980461811722913,1,"Jackknife_MVN",0.974358974358974
3,7,"Jackknife_Wald",0.945,2,"Jackknife_Wald",0.938
3,7,"LEF_outcome",0.874,3,"LEF_outcome",0.898
3,7,"LEF_both",0.873,4,"LEF_both",0.895
3,7,"Bootstrap",0.862,5,"Bootstrap",0.853
3,7,"Sandwich",0.766917293233083,6,"Sandwich",0.805405405405405
4,7,"Jackknife_MVN",0.985790408525755,1,"Jackknife_MVN",0.974358974358974
4,7,"Jackknife_Wald",0.925,2,"Jackknife_Wald",0.93
4,7,"LEF_outcome",0.841,3,"LEF_both",0.859
4,7,"LEF_both",0.841,3,"LEF_outcome",0.857
4,7,"Bootstrap",0.838,4,"Bootstrap",0.849
4,7,"Sandwich",0.764769065520945,5,"Sandwich",0.803243243243243
0,8,"LEF_outcome",0.989,1,"LEF_outcome",0.985
0,8,"LEF_both",0.989,1,"LEF_both",0.985
0,8,"Sandwich",0.956,2,"Sandwich",0.952134540750323
0,8,"Jackknife_MVN",0.908613445378151,3,"Jackknife_MVN",0.918518518518519
0,8,"Jackknife_Wald",0.906,4,"Jackknife_Wald",0.906
0,8,"Bootstrap",0.903,5,"Bootstrap",0.902
1,8,"LEF_outcome",0.972,1,"LEF_outcome",0.967
1,8,"LEF_both",0.971,2,"LEF_both",0.966
1,8,"Jackknife_MVN",0.929621848739496,3,"Jackknife_MVN",0.925925925925926
1,8,"Sandwich",0.905333333333333,4,"Sandwich",0.905562742561449
